Date,In,Out,Hours, Cash , Credit , BeerS , FoodS , LiquorS , RetailS , WineS ,Guest Count, Sales , Fee , CreditR , TotalR , FoodT , BarT , BusT ,Tip %, Tip Out , Hourly ,Liquor %,PPA
7/19/2024,3:28:00 PM,10:51:00 PM,7.38,  98.00 ,  578.54 ,  207.00 ,  2032.20 ,  455.00 ,  32.00 ,  16.00 ,75.00,  2742.20 ,  13.02 ,  463.88 ,  561.88 ,  40.64 ,  33.90 ,  27.10 ,0.20,  101.65 ,  76.10 ,0.33,36.56
7/20/2024,9:55:00 AM,10:34:00 PM,12.65,  81.00 ,  864.02 ,  330.00 ,  3495.35 ,  380.00 ,  0   ,  34.00 ,127.00,  4239.35 ,  19.44 ,  695.08 ,  776.08 ,  69.91 ,  37.20 ,  42.39 ,0.18,  149.50 ,  61.35 ,0.21,33.38
7/21/2024,9:57:00 AM,10:02:00 PM,12.08,  55.00 ,  844.30 ,  235.00 ,  3632.13 ,  356.00 ,  26.85 ,  0   ,148.00,  4249.98 ,  19.00 ,  680.88 ,  735.88 ,  72.64 ,  29.55 ,  42.23 ,0.17,  144.42 ,  60.90 ,0.16,28.72
7/25/2024,4:44:00 PM,9:06:00 PM,4.37,  6.00 ,  241.24 ,  77.00 ,  1004.48 ,  143.00 ,  0   ,  0   ,42.00,  1224.48 ,  5.43 ,  192.48 ,  198.48 ,  20.09 ,  11.00 ,  12.24 ,0.16,  43.33 ,  45.45 ,0.22,29.15
7/26/2024,3:52:00 PM,10:21:00 PM,6.48,  7.00 ,  387.29 ,  136.00 ,  1623.36 ,  306.00 ,  8.95 ,  0   ,60.00,  2074.31 ,  8.71 ,  303.36 ,  310.36 ,  32.47 ,  22.10 ,  20.65 ,0.15,  75.22 ,  47.87 ,0.27,34.57
7/27/2024,9:55:00 AM,10:45:00 PM,12.83,  218.00 ,  966.88 ,  446.00 ,  3896.05 ,  525.00 ,  48.75 ,  10.00 ,161.00,  4925.80 ,  21.75 ,  769.38 ,  987.38 ,  77.92 ,  49.05 ,  48.77 ,0.20,  175.74 ,  76.94 ,0.25,30.60
7/28/2024,10:05:00 AM,2:24:00 PM,4.32,  23.00 ,  100.91 ,  20.00 ,  545.40 ,  14.00 ,  0   ,  0   ,27.00,  579.40 ,  2.27 ,  80.24 ,  103.24 ,  10.91 ,  1.70 ,  5.79 ,0.18,  18.40 ,  23.92 ,0.06,21.46
7/28/2024,3:27:00 PM,10:40:00 PM,7.22,  151.00 ,  329.02 ,  188.00 ,  1495.99 ,  157.00 ,  0   ,  0   ,64.00,  1840.99 ,  7.40 ,  256.04 ,  407.04 ,  29.92 ,  17.25 ,  18.41 ,0.22,  65.58 ,  56.40 ,0.23,28.77
8/1/2024,3:23:00 PM,10:50:00 PM,7.45,  88.00 ,  628.31 ,  247.00 ,  2281.42 ,  452.00 ,  0   ,  0   ,90.00,  2980.42 ,  14.14 ,  503.79 ,  591.79 ,  45.63 ,  34.95 ,  29.80 ,0.20,  110.38 ,  79.43 ,0.31,33.12
8/2/2024,9:54:00 AM,10:56:00 PM,13.03,  153.00 ,  828.64 ,  376.00 ,  3375.16 ,  469.00 ,  37.80 ,  56.00 ,125.00,  4313.96 ,  18.64 ,  654.68 ,  807.68 ,  67.50 ,  45.05 ,  42.76 ,0.19,  155.31 ,  61.97 ,0.27,34.51
